Title,Type,Location,Address,Price,Cancellation Policy,Review Number,Overall Review,Rating,StaffFriendlinessR,Facilities,CleanlinessR,ComfortR,Cost-effectivenessR,LocationR,Free Wi-FiR,URL
롯데시티호텔 제주,호텔,"제주 시내, 제주","제주, 도령로 83",395808,무료취소,1677,매우 좋음,8.4,9.1,8.8,8.9,9.0,8.3,9.0,8.9,https://www.booking.com/hotel/kr/lotte-city-jeju.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=89448612_134358957_2_42_0&highlighted_blocks=89448612_134358957_2_42_0&matching_block_id=89448612_134358957_2_42_0&sr_pri_blocks=89448612_134358957_2_42_0__39600000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
오션스위츠 제주 호텔,호텔,"제주 시내, 제주","제주, 탑동 해안로 74",209622,무료취소,1131,좋음,7.9,8.8,8.1,8.2,8.3,8.2,9.0,8.7,https://www.booking.com/hotel/kr/ocean-suites-jeju-jeju.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=101479753_190176311_2_2_0&highlighted_blocks=101479753_190176311_2_2_0&matching_block_id=101479753_190176311_2_2_0&sr_pri_blocks=101479753_190176311_2_2_0__21000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
라마다 제주시티호텔,호텔,"제주 시내, 제주","제주, 중앙로 304",218736,무료취소,2696,매우 좋음,8.0,8.6,8.3,8.4,8.3,8.7,8.6,8.8,https://www.booking.com/hotel/kr/ramada-jeju-city-hall.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__21961638&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
호텔 시리우스,호텔,"제주 시내, 제주","제주, 도령로 133",208320,무료취소,1045,매우 좋음,8.2,8.6,8.5,8.6,8.5,8.5,8.8,8.8,https://www.booking.com/hotel/kr/sirius.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=318899301_0_2_0_0&highlighted_blocks=318899301_0_2_0_0&matching_block_id=318899301_0_2_0_0&sr_pri_blocks=318899301_0_2_0_0__20887301&from=searchresults#hotelTmpl
제주 아길라 호텔 오시아노 스위츠,호텔,"한림읍, 제주","제주, 한림읍 옹포2길 10",359352,무료취소,618,매우 좋음,8.0,8.3,8.2,8.3,8.4,7.9,8.4,8.3,https://www.booking.com/hotel/kr/aguila.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=202191902_333996229_2_0_0&highlighted_blocks=202191902_333996229_2_0_0&matching_block_id=202191902_333996229_2_0_0&sr_pri_blocks=202191902_333996229_2_0_0__36000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
아이진 호텔,호텔,"제주 시내, 제주","제주, 신대로22길 4",132804,무료취소,466,매우 좋음,8.1,8.8,8.3,8.6,8.5,8.7,8.2,9.0,https://www.booking.com/hotel/kr/benikea-i-jin-jeju-city.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=128943902_190379579_0_2_0&highlighted_blocks=128943902_190379579_0_2_0&matching_block_id=128943902_190379579_0_2_0&sr_pri_blocks=128943902_190379579_0_2_0__13312000&from=searchresults#hotelTmpl
글로스터 호텔 제주,호텔,"제주 시내, 제주","제주, 삼무로 57",145824,무료취소,1419,매우 좋음,8.2,8.7,8.3,8.5,8.5,8.7,9.0,8.7,https://www.booking.com/hotel/kr/howard-johnson-jeju-city.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=222454029_329565677_0_2_0&highlighted_blocks=222454029_329565677_0_2_0&matching_block_id=222454029_329565677_0_2_0&sr_pri_blocks=222454029_329565677_0_2_0__14620500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
호텔 리젠트 마린 더블루,호텔,"제주 시내, 제주","제주, 서부두2길 20",239568,무료취소,1946,매우 좋음,8.2,8.8,8.4,8.5,8.5,8.6,9.0,8.7,https://www.booking.com/hotel/kr/regentmarine-the-blue.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=165855517_331681209_2_2_0&highlighted_blocks=165855517_331681209_2_2_0&matching_block_id=165855517_331681209_2_2_0&sr_pri_blocks=165855517_331681209_2_2_0__24000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
호텔난타 제주,호텔,제주,"제주, 선돌목동길 56-26",210924,무료취소,1833,우수함,8.6,8.8,8.7,9.0,8.9,9.0,8.1,8.8,https://www.booking.com/hotel/kr/nanta-jeju.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=213857401_0_2_0_0&highlighted_blocks=213857401_0_2_0_0&matching_block_id=213857401_0_2_0_0&sr_pri_blocks=213857401_0_2_0_0__21150658&from=searchresults#hotelTmpl
신라스테이 제주,호텔,"제주 시내, 제주","제주, 노연로 100",273420,무료취소,1211,좋음,7.8,8.8,8.3,8.3,8.3,7.9,8.5,8.8,https://www.booking.com/hotel/kr/shilla-stay-jeju.ko.html?aid=304142&label=gen173nr-1FCAQoggJCDGNpdHlfLTcxNDE5MUgXWARopgKIAQGYARe4ARjIAQzYAQHoAQH4AQOIAgGoAgS4AsC-h6QGwAIB0gIkYWYxNTEwM2ItYzZhYy00MzlmLTg4NDMtZjQzOGE4MGM3ZmJh2AIF4AIB&ucfs=1&arphpl=1&checkin=2023-07-31&checkout=2023-08-02&dest_id=-714191&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c55a62a00dac0037&srepoch=1686232898&all_sr_blocks=127072201_327733032_0_2_0&highlighted_blocks=127072201_327733032_0_2_0&matching_block_id=127072201_327733032_0_2_0&sr_pri_blocks=127072201_327733032_0_2_0__27399900&from=searchresults#hotelTmpl
